Fecha,Temp_Maxima_Superficie_C,Temp_Minima_Superficie_C,Radiacion_Solar_Maxima_W_m2,Actividad_Agua_Minima_aw
2025-01-01,41.33,11.99,1111.12,0.1841
2025-01-02,41.7,10.18,1097.231,0.18239999999999998
2025-01-03,41.07,10.91,1091.6753999999999,0.2158
2025-01-04,40.28,11.94,1002.7857999999999,0.1784
2025-01-05,36.06,12.48,975.0077999999999,0.1856
2025-01-06,39.73,13.39,866.6736,0.252
2025-01-07,42.97,12.36,1111.12,0.1804
2025-01-08,41.46,12.37,1105.5644,0.23920000000000002
2025-01-09,41.38,11.72,1097.231,0.2514
2025-01-10,42.35,12.57,1066.6752,0.2407
2025-01-11,41.06,12.41,1038.8971999999999,0.2963
2025-01-12,41.94,12.53,1038.8971999999999,0.214
2025-01-13,42.97,9.95,1111.12,0.1288
2025-01-14,42.35,10.04,1102.7866,0.15839999999999999
2025-01-15,41.47,10.53,1097.231,0.1978
2025-01-16,41.09,10.31,1091.6753999999999,0.242
2025-01-17,40.42,12.7,1091.6753999999999,0.2873
2025-01-18,41.87,12.42,1102.7866,0.2507
2025-01-19,42.19,14.32,1027.786,0.2867
2025-01-20,42.48,13.5,1033.3416,0.2672
2025-01-21,41.91,13.52,1091.6753999999999,0.23010000000000003
2025-01-22,41.56,12.74,1069.453,0.20809999999999998
2025-01-23,42.49,11.18,1102.7866,0.1971
2025-01-24,43.27,11.45,1063.8973999999998,0.1865
2025-01-25,43.57,11.5,1086.1198,0.1195
2025-01-26,44.61,12.17,1075.0086,0.1317
2025-01-27,42.61,13.34,1091.6753999999999,0.2391
2025-01-28,43.64,13.25,1100.0087999999998,0.1898
2025-01-29,43.82,12.62,1116.6755999999998,0.1869
2025-01-30,43.35,12.79,1088.8975999999998,0.198
2025-01-31,43.08,13.16,1072.2307999999998,0.1886
2025-02-01,42.86,13.77,1069.453,0.2347
2025-02-02,41.76,12.15,1033.3416,0.26280000000000003
2025-02-03,41.49,12.53,1072.2307999999998,0.2657
2025-02-04,41.18,13.58,1013.8969999999998,0.2788
2025-02-05,43.55,13.9,1058.3418,0.2021
2025-02-06,41.44,13.6,1052.7862,0.2876
2025-02-07,44.19,12.85,997.2301999999999,0.2655
2025-02-08,42.33,14.66,1061.1195999999998,0.2589
2025-02-09,43.16,14.18,1019.4525999999998,0.2412
2025-02-10,41.77,14.63,1005.5636,0.3123
2025-02-11,41.05,15.43,1022.2303999999999,0.3356
2025-02-12,41.53,14.6,1025.0082,0.32270000000000004
2025-02-13,42.47,14.16,980.5633999999999,0.2991
2025-02-14,41.47,16.02,961.1187999999999,0.3381
2025-02-15,41.37,14.99,950.0075999999999,0.3182
2025-02-16,42.37,13.65,911.1183999999998,0.2779
2025-02-17,42.62,13.51,969.4522,0.2354
2025-02-18,41.53,12.59,936.1185999999999,0.2658
2025-02-19,41.58,13.21,1025.0082,0.3414
2025-02-20,41.76,14.44,988.8967999999999,0.33770000000000006
2025-02-21,43.75,13.38,958.341,0.2506
2025-02-22,42.78,13.77,1008.3413999999999,0.2775
2025-02-23,43.87,14.61,988.8967999999999,0.2341
2025-02-24,43.56,15.16,994.4523999999999,0.2422
2025-02-25,44.1,14.92,1030.5638,0.2346
2025-02-26,43.03,13.86,1050.0084,0.24539999999999998
2025-02-27,41.8,13.54,958.341,0.318
2025-02-28,41.18,13.16,983.3412,0.3265
2025-03-01,41.85,12.86,1000.0079999999999,0.2564
2025-03-02,41.21,12.91,1016.6747999999999,0.2504
2025-03-03,41.25,13.46,1016.6747999999999,0.2473
2025-03-04,41.2,11.89,1027.786,0.2572
2025-03-05,41.43,11.17,1013.8969999999998,0.22899999999999998
2025-03-06,40.13,11.92,986.1189999999998,0.2413
2025-03-07,39.51,11.69,1022.2303999999999,0.26899999999999996
2025-03-08,42.0,12.28,980.5633999999999,0.2161
2025-03-09,39.24,12.65,911.1183999999998,0.3256
2025-03-10,40.68,11.36,958.341,0.2116
2025-03-11,40.87,10.38,980.5633999999999,0.1814
2025-03-12,41.38,10.48,997.2301999999999,0.18739999999999998
2025-03-13,40.64,12.13,944.4519999999999,0.24100000000000002
2025-03-14,41.19,11.26,969.4522,0.1775
2025-03-15,40.47,9.41,980.5633999999999,0.1825
2025-03-16,40.42,10.77,958.341,0.21420000000000003
2025-03-17,41.89,11.37,913.8961999999999,0.1924
2025-03-18,41.3,11.02,919.4517999999999,0.2096
2025-03-19,42.33,10.74,980.5633999999999,0.1909
2025-03-20,40.13,9.15,975.0077999999999,0.2036
2025-03-21,40.74,9.87,911.1183999999998,0.1741
2025-03-22,40.15,9.67,866.6736,0.2352
2025-03-23,40.77,10.57,950.0075999999999,0.2057
2025-03-24,39.37,10.16,958.341,0.21899999999999997
2025-03-25,39.62,9.71,961.1187999999999,0.1934
2025-03-26,39.45,10.72,919.4517999999999,0.278
2025-03-27,36.85,11.19,925.0074,0.3826
2025-03-28,38.83,11.35,938.8963999999999,0.319
2025-03-29,38.41,10.75,941.6741999999999,0.2832
2025-03-30,37.0,9.91,913.8961999999999,0.2702
2025-03-31,36.85,10.21,866.6736,0.2999
2025-04-01,36.93,9.16,886.1181999999999,0.28
2025-04-02,39.32,9.86,869.4513999999999,0.2191
2025-04-03,40.03,9.24,888.896,0.1999
2025-04-04,38.65,8.87,786.1174,0.22149999999999997
2025-04-05,37.24,8.64,855.5623999999999,0.2842
2025-04-06,38.76,7.86,802.7841999999999,0.2349
2025-04-07,37.58,8.58,697.2277999999999,0.28
2025-04-08,38.47,8.4,841.6733999999999,0.2213
2025-04-09,37.97,8.6,869.4513999999999,0.1743
2025-04-10,36.33,8.75,819.451,0.2415
2025-04-11,35.65,8.78,847.2289999999998,0.28300000000000003
2025-04-12,36.25,8.09,877.7847999999999,0.2403
2025-04-13,36.48,7.7,777.7839999999999,0.2262
2025-04-14,35.41,8.06,833.3399999999999,0.2758
2025-04-15,37.98,6.93,769.4505999999999,0.1603
2025-04-16,38.81,7.73,586.1157999999999,0.12539999999999998
2025-04-17,37.02,8.23,672.2275999999999,0.14679999999999999
2025-04-18,37.76,9.05,755.5616,0.1492
2025-04-19,35.6,6.35,733.3392,0.1578
2025-04-20,25.67,11.96,669.4498,0.32299999999999995
2025-04-21,36.58,11.44,677.7832,0.2003
2025-04-22,37.26,10.41,702.7833999999999,0.225
2025-04-23,36.82,10.43,675.0054,0.2323
2025-04-24,37.48,9.29,680.561,0.1595
2025-04-25,35.09,7.2,763.895,0.22
2025-04-26,34.66,6.56,572.2267999999999,0.21760000000000002
2025-04-27,34.89,6.06,577.7823999999999,0.2298
2025-04-28,35.78,5.54,561.1156,0.099
2025-04-29,34.9,6.29,683.3387999999999,0.12119999999999999
2025-04-30,33.22,6.13,747.2281999999999,0.2602
2025-05-01,34.25,8.42,786.1174,0.2799
2025-05-02,35.97,6.48,677.7832,0.1822
2025-05-03,36.2,6.78,608.3381999999999,0.1707
2025-05-04,36.81,7.02,594.4492,0.1153
2025-05-05,36.55,5.95,683.3387999999999,0.10550000000000001
2025-05-06,35.24,5.57,611.116,0.13140000000000002
2025-05-07,32.59,6.27,566.6712,0.1223
2025-05-08,33.33,4.88,608.3381999999999,0.129
2025-05-09,36.8,6.28,686.1166,0.0796
2025-05-10,35.88,5.01,655.5607999999999,0.0368
2025-05-11,38.51,4.84,602.7825999999999,0.0767
2025-05-12,35.69,6.03,500.00399999999996,0.111
2025-05-13,33.75,5.19,463.89259999999996,0.2133
2025-05-14,29.24,6.79,486.11499999999995,0.1977
2025-05-15,29.23,9.34,591.6714,0.2274
2025-05-16,32.63,9.06,658.3385999999999,0.1934
2025-05-17,32.79,6.11,608.3381999999999,0.24609999999999999
2025-05-18,33.92,7.27,655.5607999999999,0.2372
2025-05-19,34.81,6.16,552.7822,0.1822
2025-05-20,34.0,6.01,563.8933999999999,0.1274
2025-05-21,36.35,6.18,647.2274,0.10369999999999999
2025-05-22,34.8,5.65,552.7822,0.057699999999999994
2025-05-23,32.51,6.15,455.5591999999999,0.1317
2025-05-24,32.91,6.75,552.7822,0.1925
2025-05-25,31.54,5.96,480.5593999999999,0.17989999999999998
2025-05-26,32.63,5.34,569.4489999999998,0.1746
2025-05-27,33.25,4.85,508.33739999999995,0.1387
2025-05-28,33.92,6.35,505.5596,0.09630000000000001
2025-05-29,34.13,3.49,572.2267999999999,0.0799
2025-05-30,34.04,5.07,488.89279999999997,0.0552
2025-05-31,32.05,5.11,572.2267999999999,0.0593
2025-06-01,32.27,4.88,591.6714,0.0969
2025-06-02,34.18,6.2,658.3385999999999,0.061200000000000004
2025-06-03,32.28,7.12,480.5593999999999,0.08650000000000001
2025-06-04,32.16,6.19,586.1157999999999,0.1252
2025-06-05,34.12,7.03,477.78159999999997,0.1709
2025-06-06,30.36,6.55,588.8936,0.28059999999999996
2025-06-07,31.94,4.46,591.6714,0.1399
2025-06-08,33.45,6.34,463.89259999999996,0.1127
2025-06-09,32.5,6.9,519.4485999999999,0.0852
2025-06-10,33.97,4.58,586.1157999999999,0.065
2025-06-11,30.97,5.58,530.5597999999999,0.1148
2025-06-12,29.43,5.79,619.4494,0.3273
2025-06-13,24.63,6.84,475.00379999999996,0.5046
2025-06-14,28.16,6.33,688.8943999999999,0.2384
2025-06-15,29.32,4.48,447.2258,0.1067
2025-06-16,27.58,3.56,672.2275999999999,0.2871
2025-06-17,27.83,3.46,583.338,0.2799
2025-06-18,27.42,2.35,697.2277999999999,0.2262
2025-06-19,31.84,2.97,700.0056,0.14529999999999998
2025-06-20,31.01,3.86,552.7822,0.1401
2025-06-21,29.61,4.52,558.3377999999999,0.1263
2025-06-22,32.33,2.63,602.7825999999999,0.07490000000000001
2025-06-23,30.11,2.94,533.3376,0.1092
2025-06-24,28.07,1.52,513.893,0.13140000000000002
2025-06-25,19.38,2.5,330.55819999999994,0.5178
2025-06-26,29.19,5.44,688.8943999999999,0.2532
2025-06-27,28.37,5.12,508.33739999999995,0.27190000000000003
2025-06-28,26.8,4.48,691.6722,0.302
